#Repozytorium numerów KERG dla obrębu
Teryt obrębu	Numer KERG
#041301_5.0001	GN.6640.460.2014
041303_2.0001	GN.6640.461.2014
#
041402_2.0001	6640-565/2014
041402_2.0002	6640-565/2014
041402_2.0003	6640-565/2014
041402_2.0004	6640-565/2014
041402_2.0005	6640-565/2014
041402_2.0006	6640-565/2014
041402_2.0007	6640-565/2014
041402_2.0008	6640-565/2014
041402_2.0009	6640-565/2014
041402_2.0010	6640-565/2014
041402_2.0011	6640-565/2014
041402_2.0012	6640-565/2014
041402_2.0013	6640-565/2014
041402_2.0014	6640-565/2014
#
041406_5.0001	6640-559/2014
041406_5.0002	6640-559/2014
041406_5.0003	6640-559/2014
041406_5.0004	6640-559/2014
041406_5.0005	6640-559/2014
041406_5.0006	6640-559/2014
041406_5.0007	6640-559/2014
041406_5.0008	6640-559/2014
041406_5.0009	6640-559/2014
041406_5.0012	6640-559/2014
041406_5.0013	6640-559/2014
041406_5.0014	6640-559/2014
041406_5.0015	6640-559/2014
041406_5.0016	6640-559/2014
041406_5.0017	6640-559/2014
